,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
771,Hyundai Grand i10,PLATINUM,Chennai,509699,95999,Petrol, 2nd Owner,2016,Hyundai
772,Maruti Suzuki Alto,PLATINUM,Bangalore,337799,49074,Petrol, 2nd Owner,2014,Maruti
773,Hyundai Verna 1.6,PLATINUM,Pune,852399,52439,Petrol, 2nd Owner,2017,Hyundai
774,Mahindra XUV 500,PLATINUM,Bangalore,1784699,10813,Diesel, 1st Owner,2020,Mahindra
775,Hyundai Creta -,PLATINUM,Chennai,778199,127971,Petrol, 2nd Owner,2016,Hyundai
776,Maruti Suzuki Swift,PLATINUM,Chennai,705099,114108,Diesel, 2nd Owner,2018,Maruti
777,Hyundai Grand i10,PLATINUM,Chennai,557599,52030,Diesel, 2nd Owner,2017,Hyundai
778,Mahindra XUV 500,PLATINUM,Pune,1518099,44721,Diesel, 2nd Owner,2018,Mahindra
779,Mahindra Marazzo M6,GOLD,Madurai,1190000,50000,Diesel,,2018,Mahindra
780,Skoda Laura Ambition,GOLD,Madurai,590000,95000,Diesel,,2011,Skoda
781,Tata Harrier XZ,GOLD,Madurai,1980000,17000,Diesel,,2020,Tata
782,Mahindra XUV 500,GOLD,Chennai,1350000,52500,Diesel,,2018,Mahindra
783,BMW 5 Series,GOLD,NaviMumbai,1059000,49000,Petrol, 3rd Owner,2010,BMW
784,Maruti Suzuki Alto,GOLD,Kolkata,185000,55000,Petrol, 1st Owner,2011,Maruti
785,Mahindra Scorpio 2.6,GOLD,Chennai,710000,81500,Diesel,,2014,Mahindra
786,Mercedes Benz E,GOLD,Kolkata,1948888,10000,Diesel, 1st Owner,2013,Mercedes
787,Tata Harrier -,PLATINUM,Bangalore,2272499,22667,Diesel, 2nd Owner,2020,Tata
788,Honda City -,PLATINUM,Bangalore,626199,68519,Petrol, 1st Owner,2014,Honda
789,Tata Nano -,PLATINUM,Bangalore,236099,64011,Petrol, 1st Owner,2015,Tata
790,Maruti Suzuki Alto,PLATINUM,Bangalore,430499,13598,Petrol, 1st Owner,2021,Maruti
791,Maruti Suzuki Wagon,PLATINUM,Bangalore,442799,47037,Petrol, 2nd Owner,2014,Maruti
792,Hyundai Creta -,PLATINUM,Pune,1373699,69711,Petrol, 2nd Owner,2018,Hyundai
793,Hyundai Elite i20,PLATINUM,Pune,589299,49189,Petrol, 2nd Owner,2015,Hyundai
794,Maruti Suzuki Alto,PLATINUM,Chennai,298199,18368,Petrol, 1st Owner,2016,Maruti
795,Tata Harrier -,PLATINUM,Pune,1508799,16874,Diesel, 2nd Owner,2020,Tata
796,Maruti Suzuki Eeco,PLATINUM,Bangalore,473699,24484,Petrol, 2nd Owner,2019,Maruti
797,Maruti Suzuki Baleno,PLATINUM,Chennai,656299,20688,Petrol, 2nd Owner,2019,Maruti
798,Maruti Suzuki Alto,PLATINUM,Chennai,345799,24065,Petrol, 2nd Owner,2016,Maruti
799,Hyundai Grand i10,PLATINUM,Chennai,584599,22609,Petrol, 2nd Owner,2018,Hyundai
800,Skoda Rapid -,PLATINUM,Pune,786799,56523,Diesel, 2nd Owner,2017,Skoda
801,Hyundai Elite i20,PLATINUM,Chennai,624799,48031,Petrol, 2nd Owner,2018,Hyundai
802,Hyundai Grand i10,PLATINUM,Chennai,472399,45578,Petrol, 1st Owner,2016,Hyundai
803,Hyundai Fluidic Verna,GOLD,Kolkata,408888,70070,Diesel, 1st Owner,2012,Hyundai
804,Hyundai i10 Magna,GOLD,Kolkata,288888,28000,Petrol, 1st Owner,2015,Hyundai
805,Chevrolet Sail 1.2,GOLD,Kolkata,198888,30030,Diesel, 1st Owner,2013,Chevrolet
806,Ford Endeavor 4X4,GOLD,Kolkata,898888,25000,Diesel, 1st Owner,2011,Ford
807,BMW 3 Series,GOLD,Kolkata,1148888,8000,Diesel, 1st Owner,2013,BMW
808,Chevrolet Spark -,GOLD,Chennai,79000,53000,Petrol,,2010,Chevrolet
809,Honda City -,GOLD,Chennai,97000,68000,Petrol,,2007,Honda
810,Hyundai Santro GLS,GOLD,Pune,135000,58000,Petrol,,2007,Hyundai
811,Hyundai Elite i20,PLATINUM,Bangalore,687199,28648,Petrol, 1st Owner,2016,Hyundai
812,Hyundai i10 Magna,PLATINUM,Bangalore,387099,59819,Petrol, 2nd Owner,2015,Hyundai
813,Maruti Suzuki Baleno,PLATINUM,Chennai,650599,19574,Petrol, 2nd Owner,2018,Maruti
814,Tata Hexa -,PLATINUM,Chennai,1705799,46337,Diesel, 2nd Owner,2019,Tata
815,Volkswagen Polo -,PLATINUM,Bangalore,526899,73563,Petrol, 1st Owner,2015,Volkswagen
816,Honda Jazz -,PLATINUM,Chennai,612799,51428,Petrol, 2nd Owner,2016,Honda
817,Maruti Suzuki Alto,PLATINUM,Chennai,269099,95754,Petrol, 2nd Owner,2016,Maruti
818,Tata Hexa -,PLATINUM,Chennai,1952199,34533,Diesel, 2nd Owner,2019,Tata
819,Maruti Suzuki Baleno,PLATINUM,Chennai,646299,50154,Petrol, 2nd Owner,2016,Maruti
820,Maruti Suzuki Celerio,PLATINUM,Bangalore,425899,23492,Petrol, 2nd Owner,2016,Maruti
821,Maruti Suzuki Celerio,PLATINUM,Bangalore,496399,37739,Petrol, 2nd Owner,2017,Maruti
822,Maruti Suzuki Celerio,PLATINUM,Bangalore,393799,46178,Petrol, 3rd Owner,2015,Maruti
823,Maruti Suzuki Baleno,PLATINUM,Chennai,619599,42893,Petrol, 1st Owner,2017,Maruti
824,Maruti Suzuki Alto,PLATINUM,Pune,423599,57875,Petrol+CNG, 2nd Owner,2019,Maruti
825,Hyundai Venue -,PLATINUM,Pune,831999,4832,Petrol, 2nd Owner,2020,Hyundai
826,Renault Triber -,PLATINUM,Chennai,695099,27805,Petrol, 2nd Owner,2019,Renault
827,Hyundai Xcent S,GOLD,Ahmedabad,390000,71000,Diesel, 1st Owner,2014,Hyundai
828,Toyota Fortuner 3.0,GOLD,Chennai,1350000,140000,Diesel,,2013,Toyota
829,Toyota Innova 2.5,GOLD,Chennai,1350000,70000,Diesel,,2014,Toyota
830,Honda City ZX,GOLD,Chennai,250000,75000,Petrol,,2008,Honda
831,Maruti Suzuki Alto,GOLD,Pune,145000,57000,Petrol,,2009,Maruti
832,Maruti Suzuki Vitara,GOLD,Pune,980000,57000,Diesel,,2018,Maruti
833,Hyundai Creta 1.4,GOLD,Pune,980000,91000,Diesel,,2018,Hyundai
834,Hyundai i10 Sportz,GOLD,Nagpur,195000,86000,Petrol,,2009,Hyundai
835,Maruti Suzuki Alto,PLATINUM,Chennai,261499,68844,Petrol, 2nd Owner,2013,Maruti
836,Honda Jazz -,PLATINUM,Chennai,649699,37070,Petrol, 1st Owner,2017,Honda
837,Hyundai Grand i10,PLATINUM,Pune,494099,20393,Petrol, 2nd Owner,2017,Hyundai
838,Maruti Suzuki Alto,PLATINUM,Pune,313399,22244,Petrol, 2nd Owner,2017,Maruti
839,Toyota Fortuner -,PLATINUM,Chennai,2122099,47024,Diesel, 1st Owner,2016,Toyota
840,Hyundai Elite i20,PLATINUM,Chennai,552799,64707,Petrol, 2nd Owner,2015,Hyundai
841,Ford Ecosport -,PLATINUM,Pune,490099,52149,Petrol, 2nd Owner,2013,Ford
842,Hyundai Grand i10,PLATINUM,Pune,638599,11203,Petrol, 2nd Owner,2017,Hyundai
843,Maruti Suzuki Alto,PLATINUM,Pune,374799,18071,Petrol, 2nd Owner,2015,Maruti
844,Hyundai Elite i20,PLATINUM,Chennai,517499,81412,Petrol, 2nd Owner,2016,Hyundai
845,Maruti Suzuki Swift,PLATINUM,Chennai,553899,41912,Petrol, 2nd Owner,2016,Maruti
846,Maruti Suzuki Swift,PLATINUM,Chennai,579199,32516,Petrol, 2nd Owner,2016,Maruti
847,Hyundai Grand i10,PLATINUM,Bangalore,531999,41552,Petrol, 2nd Owner,2015,Hyundai
848,Hyundai Grand i10,PLATINUM,Chennai,496199,21790,Petrol, 1st Owner,2018,Hyundai
849,Maruti Suzuki Baleno,PLATINUM,Chennai,659099,34010,Petrol, 2nd Owner,2019,Maruti
850,Hyundai Elite i20,PLATINUM,Chennai,534799,50050,Petrol, 2nd Owner,2016,Hyundai
851,Maruti Suzuki Ertiga,GOLD,Chennai,950000,2000,Petrol,,2019,Maruti
852,Maruti Suzuki Swift,GOLD,Nagpur,265000,71000,Petrol,,2010,Maruti
853,Hyundai i20 Asta,GOLD,Chennai,650000,52000,Diesel,,2015,Hyundai
854,Maruti Suzuki Swift,GOLD,Chennai,650000,35000,Petrol,,2018,Maruti
855,Renault Kwid RXT,GOLD,Chennai,290000,41000,Petrol,,2016,Renault
856,Tata Indigo LX,GOLD,Bangalore,74999,125000,Diesel,,2003,Tata
857,Maruti Suzuki Alto,GOLD,Bangalore,155000,85000,Petrol,,2006,Maruti
858,Chevrolet Optra -,GOLD,Chennai,69000,85000,Petrol,,2005,Chevrolet
859,Hyundai Grand i10,PLATINUM,Chennai,496199,21790,Petrol, 1st Owner,2018,Hyundai
860,Maruti Suzuki Wagon,PLATINUM,Chennai,298599,75822,Petrol, 1st Owner,2011,Maruti
861,Tata Tiago -,PLATINUM,Bangalore,490199,28589,Petrol, 1st Owner,2016,Tata
862,Renault Kwid -,PLATINUM,Bangalore,422999,15883,Petrol, 2nd Owner,2017,Renault
863,Hyundai Elite i20,PLATINUM,Chennai,656399,63648,Petrol, 1st Owner,2016,Hyundai
864,Maruti Suzuki Vitara,PLATINUM,Pune,688599,156931,Diesel, 2nd Owner,2016,Maruti
865,Maruti Suzuki XL6,PLATINUM,Pune,1113299,13829,Petrol, 2nd Owner,2019,Maruti
866,Maruti Suzuki Baleno,PLATINUM,Pune,608399,28361,Petrol, 1st Owner,2016,Maruti
867,Hyundai Grand i10,PLATINUM,Chennai,587399,77960,Petrol, 1st Owner,2017,Hyundai
868,Maruti Suzuki Celerio,PLATINUM,Bangalore,449699,33473,Petrol, 2nd Owner,2015,Maruti
869,Maruti Suzuki Eeco,PLATINUM,Chennai,464899,29052,Petrol, 2nd Owner,2019,Maruti
870,Maruti Suzuki Alto,PLATINUM,Chennai,302699,68041,Petrol, 2nd Owner,2017,Maruti
871,Maruti Suzuki Baleno,PLATINUM,Bangalore,583299,61361,Petrol, 2nd Owner,2015,Maruti
872,Honda BRV -,PLATINUM,Bangalore,877999,32218,Petrol, 2nd Owner,2018,Honda
873,Hyundai i10 Magna,PLATINUM,Chennai,398499,28579,Petrol, 1st Owner,2016,Hyundai
874,Hyundai Grand i10,PLATINUM,Chennai,529399,51343,Petrol, 2nd Owner,2017,Hyundai
875,Chevrolet Optra -,GOLD,Chennai,69000,85000,Petrol,,2005,Chevrolet
876,Honda City 1.5,GOLD,Hyderabad,700000,86868,Petrol,,2016,Honda
877,Hyundai Accent -,GOLD,Chennai,79000,85000,Petrol,,2002,Hyundai
878,Maruti Suzuki Swift,GOLD,Chennai,390000,77000,Petrol,,2012,Maruti
879,Honda City V,GOLD,Chennai,950000,35500,Petrol, 1st Owner,2017,Honda
880,Toyota Glanza G,GOLD,Chennai,725000,19942,Petrol,,2019,Toyota
881,Hyundai i20 Sportz,GOLD,Bangalore,439000,16000,Petrol, 1st Owner,2012,Hyundai
882,Honda City ZX,GOLD,,1069999,54000,CNG, 1st Owner,2018,Honda
883,Renault Kwid RxL,PLATINUM,Bangalore,422299,17357,Petrol, 2nd Owner,2019,Renault
884,Ford Figo Aspire,PLATINUM,Bangalore,589999,14517,Petrol, 2nd Owner,2017,Ford
885,Maruti Suzuki Baleno,PLATINUM,Chennai,661299,13517,Petrol, 1st Owner,2017,Maruti
886,Maruti Suzuki Wagon,PLATINUM,Chennai,429099,42302,Petrol, 1st Owner,2017,Maruti
887,Maruti Suzuki Celerio,PLATINUM,Chennai,389399,65783,Petrol, 2nd Owner,2015,Maruti
888,Renault Lodgy -,PLATINUM,Chennai,629799,138716,Diesel, 2nd Owner,2015,Renault
889,Hyundai i10 Sportz,PLATINUM,Bangalore,397299,43339,Petrol, 1st Owner,2013,Hyundai
890,Maruti Suzuki Ignis,PLATINUM,Pune,546399,19526,Petrol, 2nd Owner,2018,Maruti
891,Maruti Suzuki Alto,PLATINUM,Bangalore,412999,25673,Petrol, 1st Owner,2016,Maruti
892,Maruti Suzuki Celerio,PLATINUM,Chennai,402799,93304,Petrol, 2nd Owner,2016,Maruti
893,Hyundai Creta -,PLATINUM,Chennai,915699,94409,Diesel, 2nd Owner,2019,Hyundai
894,Maruti Suzuki Celerio,PLATINUM,Chennai,361499,66799,Petrol,,2014,Maruti
895,Hyundai EON -,PLATINUM,Chennai,357899,27339,Petrol, 2nd Owner,2016,Hyundai
896,Renault Kwid -,PLATINUM,Pune,475399,9095,Petrol, 2nd Owner,2018,Renault
897,Maruti Suzuki Eeco,PLATINUM,Bangalore,485299,21934,Petrol, 1st Owner,2019,Maruti
898,Maruti Suzuki Baleno,PLATINUM,Bangalore,643599,51706,Petrol, 2nd Owner,2016,Maruti
899,Honda City ZX,GOLD,Dwarka,1069999,54000,CNG, 1st Owner,2018,Honda
900,Honda City ZX,GOLD,GirSomnath,1069999,54000,CNG, 1st Owner,2018,Honda
901,Honda City ZX,GOLD,Anand,1069999,54000,CNG, 1st Owner,2018,Honda
902,Hyundai i20 Asta,GOLD,Chennai,255000,90000,Petrol,,2009,Hyundai
903,Tata Hexa -,GOLD,Muzaffarnagar,1500000,85000,Diesel,,2019,Tata
904,Mahindra XUV 500,GOLD,Jaipur,650000,89000,Diesel,,2014,Mahindra
905,Hyundai Santro Xing,GOLD,Jaipur,175000,45000,Petrol,,2010,Hyundai
906,Honda WRV VX,GOLD,Kolkata,735000,34000,Petrol, 1st Owner,2018,Honda
907,Maruti Suzuki Wagon,PLATINUM,Pune,438199,31281,Petrol, 1st Owner,2018,Maruti
908,Honda City -,PLATINUM,Bangalore,924599,46312,Petrol, 2nd Owner,2019,Honda
909,Hyundai Elite i20,PLATINUM,Chennai,664099,32989,Petrol, 1st Owner,2018,Hyundai
910,Renault Kwid -,PLATINUM,Bangalore,462299,50599,Petrol, 2nd Owner,2018,Renault
911,Honda Brio -,PLATINUM,Bangalore,438499,26127,Petrol, 2nd Owner,2016,Honda
912,Maruti Suzuki Vitara,PLATINUM,Bangalore,680999,58118,Diesel, 2nd Owner,2016,Maruti
913,Maruti Suzuki Alto,PLATINUM,Chennai,393199,23534,Petrol, 2nd Owner,2019,Maruti
914,Maruti Suzuki Baleno,PLATINUM,Chennai,646799,58978,Petrol, 2nd Owner,2018,Maruti
915,Maruti Suzuki Wagon,PLATINUM,Pune,349999,33103,Petrol, 1st Owner,2014,Maruti
916,Maruti Suzuki Eeco,PLATINUM,Bangalore,419599,14600,Petrol, 2nd Owner,2018,Maruti
917,Maruti Suzuki Baleno,PLATINUM,Pune,585099,26049,Petrol, 2nd Owner,2016,Maruti
918,Ford Freestyle -,PLATINUM,Bangalore,627799,33895,Diesel, 1st Owner,2018,Ford
919,Volkswagen Polo -,PLATINUM,Bangalore,520799,32893,Petrol, 2nd Owner,2017,Volkswagen
920,Maruti Suzuki Swift,PLATINUM,Chennai,410199,61717,Petrol, 3rd Owner,2013,Maruti
921,Maruti Suzuki Wagon,PLATINUM,Chennai,404399,82334,Petrol, 2nd Owner,2017,Maruti
922,Hyundai Verna -,PLATINUM,Chennai,682799,87381,Petrol, 2nd Owner,2017,Hyundai
923,Land Rover Range,GOLD,Chennai,4490000,51000,Diesel,,2017,Land
924,Honda City ZX,GOLD,Delhi,150000,85000,Petrol,,2008,Honda
925,Porsche Cayenne Select,GOLD,Mumbai,3300000,38000,Electric, 1st Owner,2011,Porsche
926,Toyota Innova 2.5,GOLD,Bangalore,1175000,210000,Diesel, 1st Owner,2013,Toyota
927,Maruti Suzuki Ciaz,GOLD,Bangalore,975000,24200,Petrol,,2019,Maruti
928,MG Motors Hector,GOLD,Trichy,2000000,28000,Diesel,,2021,MG
929,Mahindra Bolero ZLX,GOLD,Trichy,535000,135000,Diesel,,2012,Mahindra
930,Ford Ecosport -,PLATINUM,Pune,1045799,34642,Petrol, 2nd Owner,2019,Ford
931,Maruti Suzuki Swift,PLATINUM,Chennai,410199,154104,Petrol, 2nd Owner,2013,Maruti
932,Maruti Suzuki Alto,PLATINUM,Chennai,297299,61826,Petrol, 2nd Owner,2016,Maruti
933,Tata Nexon -,PLATINUM,Pune,980199,44751,Diesel, 2nd Owner,2018,Tata
934,Honda Jazz -,PLATINUM,Chennai,794299,5183,Petrol, 2nd Owner,2019,Honda
935,Maruti Suzuki Swift,PLATINUM,Pune,411899,136082,Diesel, 2nd Owner,2012,Maruti
936,Maruti Suzuki Celerio,PLATINUM,Chennai,557399,5817,Petrol, 1st Owner,2019,Maruti
937,Hyundai Creta -,PLATINUM,Pune,896099,99138,Diesel, 2nd Owner,2015,Hyundai
938,Honda Jazz -,PLATINUM,Pune,637699,27936,Petrol, 2nd Owner,2016,Honda
939,Maruti Suzuki Alto,PLATINUM,Chennai,254499,39845,Petrol, 3rd Owner,2014,Maruti
940,Maruti Suzuki Eeco,PLATINUM,Chennai,457699,15615,Petrol, 2nd Owner,2019,Maruti
941,Honda Brio -,PLATINUM,Chennai,361599,53158,Petrol, 2nd Owner,2012,Honda
942,Maruti Suzuki Baleno,PLATINUM,Pune,675799,16002,Petrol, 2nd Owner,2019,Maruti
943,Maruti Suzuki Wagon,PLATINUM,Pune,389499,31133,Petrol, 1st Owner,2015,Maruti
944,Maruti Suzuki Baleno,PLATINUM,Bangalore,625599,20172,Petrol, 2nd Owner,2016,Maruti
945,Volkswagen Polo -,PLATINUM,Bangalore,686999,69653,Petrol, 1st Owner,2013,Volkswagen
946,Maruti Suzuki Celerio,GOLD,Trichy,425000,75000,Petrol,,2015,Maruti
947,Renault Pulse RxL,GOLD,Trichy,350000,132000,Diesel,,2012,Renault
948,Skoda Rapid 1.5,GOLD,Trichy,560000,84000,Diesel,,2014,Skoda
949,Maruti Suzuki SX4,GOLD,Trichy,250000,147000,Petrol,,2007,Maruti
950,Hyundai Santro GLS,GOLD,Uttarpara,90000,61000,Petrol,,2008,Hyundai
951,Hyundai i10 Era,GOLD,Delhi,200000,56000,Petrol,,2012,Hyundai
952,Mahindra KUV100 K4,GOLD,Chennai,325000,108000,Diesel,,2018,Mahindra
953,Hyundai i20 Era,GOLD,Chennai,620000,55000,Diesel,,2018,Hyundai
954,Volkswagen Ameo Comfortline,PLATINUM,Chennai,519699,26023,Petrol, 1st Owner,2017,Volkswagen
955,Maruti Suzuki Alto,PLATINUM,Chennai,324599,19805,Petrol, 2nd Owner,2018,Maruti
956,Maruti Suzuki Alto,PLATINUM,Chennai,340199,41365,Petrol, 2nd Owner,2017,Maruti
957,Ford Ecosport -,PLATINUM,Chennai,693999,90001,Diesel, 1st Owner,2017,Ford
958,Hyundai EON Era,PLATINUM,Chennai,310999,45285,Petrol, 2nd Owner,2016,Hyundai
959,Maruti Suzuki Ciaz,PLATINUM,Bangalore,722199,42441,Petrol, 2nd Owner,2016,Maruti
960,Maruti Suzuki Celerio,PLATINUM,Bangalore,485099,24342,Petrol, 3rd Owner,2016,Maruti
961,Maruti Suzuki Dzire,PLATINUM,Chennai,614999,14308,Petrol, 2nd Owner,2017,Maruti
962,Maruti Suzuki Vitara,PLATINUM,Pune,1061399,32456,Diesel, 2nd Owner,2018,Maruti
963,Maruti Suzuki S,PLATINUM,Pune,879699,58448,Diesel, 1st Owner,2018,Maruti
964,Maruti Suzuki Ertiga,PLATINUM,Chennai,755199,86576,Diesel, 2nd Owner,2016,Maruti
965,Ford Ecosport -,PLATINUM,Bangalore,816399,50421,Petrol, 2nd Owner,2018,Ford
966,Maruti Suzuki Eeco,PLATINUM,Chennai,414299,26035,Petrol, 2nd Owner,2017,Maruti
967,Tata Tiago -,PLATINUM,Chennai,476299,23499,Petrol, 2nd Owner,2018,Tata
968,Maruti Suzuki Baleno,PLATINUM,Chennai,572599,25636,Petrol, 2nd Owner,2016,Maruti
969,Kia Seltos -,PLATINUM,Bangalore,1644799,15023,Petrol, 2nd Owner,2019,Kia
970,Mahindra Jeep CL550,GOLD,Kochi,440000,250,Diesel,,2020,Mahindra
971,Volkswagen Vento Highline,GOLD,Pune,575000,66000,Petrol,,2015,Volkswagen
972,Toyota Innova 2.5,GOLD,Bangalore,880000,85000,Diesel,,2015,Toyota
973,Kia Carnival -,GOLD,Chennai,1500000,50000,Diesel, 1st Owner,2020,Kia
974,Hyundai Creta -,GOLD,Chennai,1000000,12000,Petrol, 1st Owner,2021,Hyundai
975,Chevrolet Beat -,GOLD,Chennai,86000,56000,Petrol,,2011,Chevrolet
976,Maruti Suzuki Wagon,GOLD,Chennai,89000,53000,Petrol,,2010,Maruti
977,Tata Nano CNG,GOLD,Mumbai,90000,28000,Petrol,,2014,Tata
978,Maruti Suzuki Alto,PLATINUM,Bangalore,352199,22584,Petrol, 1st Owner,2015,Maruti
979,Maruti Suzuki Baleno,PLATINUM,Bangalore,566899,22394,Petrol, 2nd Owner,2017,Maruti
980,Maruti Suzuki Dzire,PLATINUM,Chennai,650699,93563,Diesel, 2nd Owner,2017,Maruti
981,Maruti Suzuki Eeco,PLATINUM,Chennai,413399,10537,Petrol, 2nd Owner,2017,Maruti
982,Ford Ecosport -,PLATINUM,Chennai,645799,81515,Diesel, 1st Owner,2016,Ford
983,Jeep Compass -,PLATINUM,Chennai,1551499,24676,Diesel, 2nd Owner,2017,Jeep
984,Maruti Suzuki Alto,PLATINUM,Pune,333699,11917,Petrol, 2nd Owner,2017,Maruti
985,Maruti Suzuki Ertiga,PLATINUM,Pune,811799,69654,Diesel, 2nd Owner,2016,Maruti
986,Maruti Suzuki Alto,PLATINUM,Pune,406899,16226,Petrol, 2nd Owner,2017,Maruti
987,Ford Ecosport -,PLATINUM,Pune,727299,8925,Petrol, 2nd Owner,2018,Ford
988,Honda Jazz -,PLATINUM,Bangalore,657399,27819,Petrol, 2nd Owner,2016,Honda
989,Hyundai Grand i10,PLATINUM,Bangalore,637599,26543,Petrol, 2nd Owner,2020,Hyundai
990,Maruti Suzuki Dzire,PLATINUM,Bangalore,623799,90088,Petrol, 2nd Owner,2017,Maruti
991,Maruti Suzuki Eeco,PLATINUM,Chennai,422899,34258,Petrol, 2nd Owner,2018,Maruti
992,Hyundai i20 Active,PLATINUM,Chennai,576099,101744,Petrol, 2nd Owner,2015,Hyundai
993,Jeep Compass -,PLATINUM,Pune,1987699,19830,Petrol, 2nd Owner,2019,Jeep
994,Ford Ikon -,GOLD,Chennai,39000,73000,Petrol,,2007,Ford
995,Hyundai Grand i10,GOLD,Dhanbad,475000,38000,Diesel,,2019,Hyundai
996,Mahindra XUV 500,GOLD,NaviMumbai,450000,87500,Diesel,,2012,Mahindra
997,Maruti Suzuki Ertiga,GOLD,Nagpur,650000,91000,Diesel,,2014,Maruti
998,Maruti Suzuki Ritz,GOLD,Nagpur,326000,76000,Diesel,,2012,Maruti
999,Tata Indica Vista,GOLD,Nagpur,170000,80000,Diesel,,2011,Tata
1000,Maruti Suzuki Eeco,GOLD,Delhi,250000,70000,CNG,,2013,Maruti
1001,Maruti Suzuki Alto,GOLD,Bangalore,88000,85000,Petrol,,2007,Maruti
1002,MG Motors Hector,PLATINUM,Pune,1652199,13636,Petrol, 1st Owner,2019,MG
1003,Hyundai Venue -,PLATINUM,Bangalore,1217499,21393,Petrol, 2nd Owner,2019,Hyundai
1004,Hyundai Creta -,PLATINUM,Pune,1198299,76915,Diesel, 2nd Owner,2017,Hyundai
1005,Hyundai Grand i10,PLATINUM,Chennai,590799,16300,Petrol, 2nd Owner,2018,Hyundai
1006,Hyundai Elite i20,PLATINUM,Pune,844999,40106,Diesel, 2nd Owner,2019,Hyundai
1007,Renault Kwid RXT,PLATINUM,Bangalore,328499,66461,Petrol, 1st Owner,2015,Renault
1008,Hyundai Creta -,PLATINUM,Pune,769599,48182,Petrol, 2nd Owner,2016,Hyundai
1009,Hyundai Elite i20,PLATINUM,Bangalore,654299,41816,Petrol, 1st Owner,2017,Hyundai
1010,Hyundai i20 -,PLATINUM,Chennai,395699,73841,Petrol, 2nd Owner,2012,Hyundai
1011,Renault Kwid RxL,PLATINUM,Chennai,294799,19908,Petrol, 3rd Owner,2016,Renault
1012,Hyundai Elite i20,PLATINUM,Chennai,534499,26226,Petrol, 1st Owner,2018,Hyundai
1013,Maruti Suzuki Baleno,PLATINUM,Chennai,681399,43287,Petrol, 2nd Owner,2016,Maruti
1014,Datsun Redi GO,PLATINUM,Bangalore,415699,26527,Petrol, 2nd Owner,2018,Datsun
1015,Maruti Suzuki Alto,PLATINUM,Bangalore,300199,37801,Petrol, 3rd Owner,2017,Maruti
1016,Maruti Suzuki Vitara,PLATINUM,Chennai,856699,54044,Diesel, 2nd Owner,2017,Maruti
1017,Ford Figo Aspire,PLATINUM,Pune,481399,29632,Petrol, 2nd Owner,2017,Ford
1018,Mahindra Xylo D2,GOLD,Trichy,375000,115000,Diesel,,2009,Mahindra
1019,Maruti Suzuki Eeco,GOLD,Trichy,525000,13000,Petrol,,2020,Maruti
1020,Maruti Suzuki Swift,GOLD,Delhi,550000,42000,Diesel,,2018,Maruti
1021,Hyundai i10 Magna,GOLD,Bangalore,229000,65000,Petrol, 1st Owner,2014,Hyundai
1022,Maruti Suzuki Alto,GOLD,Bangalore,275000,60000,Petrol,,2014,Maruti
1023,Jeep Compass Limited,GOLD,Mahasamund,1750000,31000,Diesel, 1st Owner,2017,Jeep
1024,Jeep Compass Limited,GOLD,Bilaspur,1750000,31000,Diesel, 1st Owner,2017,Jeep
1025,Jeep Compass Limited,GOLD,Jagdalpur,1750000,31000,Diesel, 1st Owner,2017,Jeep
